\#,Power(W),$\delta_{power}$,Duration(s),$\delta_{duration}$,Energy(J),$\delta_{energy}$
1_COUNT_50k-600_1c-1574400 ,0.591,0.0328,6.17,0.379,3.64,0.128
2_COUNT_50k-600_2c-1574400 ,0.494,0.0371,5.3,0.466,2.6,0.0842
3_MSORT_50k-200_1c-1574400 ,0.745,0.0379,9.67,0.479,7.18,0.0964
4_MSORT_50k-200_2c-1574400 ,0.624,0.0334,9.37,0.49,5.83,0.108
5_QSORT_50k-200_1c-1574400 ,0.674,0.0416,7.7,0.466,5.17,0.0688
6_QSORT_50k-200_2c-1574400 ,0.576,0.0381,7.57,0.504,4.34,0.0905
7_QSORT_50k-350_2c-1574400 ,0.671,0.0275,11.3,0.466,7.57,0.0777
8_QSORT_50k-600_2c-1574400 ,0.669,0.0267,12.7,0.45,8.51,0.147
9_QSORT_50k-300_4c-2265600 ,0.862,0.0497,8.5,0.509,7.3,0.0738
10_QSORT_50k-350_1c-AUTO ,1.06,0.0209,9.07,0.254,9.61,0.138
11_QSORT_50k-350_2c-AUTO ,1.18,0.0632,8.93,0.254,10.6,0.439
12_QSORT_50k-350_3c-AUTO ,1.16,0.14,9.3,0.651,10.8,0.751
